设备型号,安装时间,厂家,损坏时间,设计寿命,损坏时的天气,安装地点,运维班,损坏性质
电源DC220,2019-10-16,上海惠安,2030-07-03,11,大雨,somewhere,维修班2,0
显示屏,2012-03-17,南瑞继保,2023-01-21,11,雷阵雨,somewhere,维修班4,0
显示屏,2014-08-20,南瑞继保,2022-03-26,8,大雨,somewhere,维修班3,0
CPU板件,2012-10-09,国电南自,2015-05-07,3,冰雹,somewhere,维修班3,老化
CPU板件,2010-10-22,南瑞科技,2016-08-17,6,小雨,somewhere,维修班1,开关设备故障
CPU板件,2010-12-28,上海惠安,2019-11-20,9,晴,somewhere,维修班3,电流互感器二次回路故障
CPU板件,2010-06-13,南瑞继保,2023-02-22,13,晴,somewhere,维修班3,0
CPU板件,2012-10-07,许继电气,2019-01-10,7,大雨,somewhere,维修班1,电压互感器二次回路故障
CPU板件,2012-08-12,许继电气,2024-12-19,13,阴,somewhere,维修班4,0
显示屏,2016-05-27,南瑞继保,2029-02-14,13,小雨,somewhere,维修班4,0
显示屏,2018-06-27,国电南自,2024-02-04,6,大雨,somewhere,维修班2,0
CPU板件,2015-11-26,南瑞科技,2026-08-31,11,冰雹,somewhere,维修班3,0
显示屏,2014-12-06,国电南自,2022-09-03,8,晴,somewhere,维修班3,0
CPU板件,2019-03-02,上海惠安,2024-11-30,6,大雨,somewhere,维修班2,0
电源DC220,2012-04-12,国电南自,2022-12-10,11,雷阵雨,somewhere,维修班4,0
CPU板件,2019-07-14,许继电气,2027-01-06,8,阴,somewhere,维修班1,0
CPU板件,2013-06-02,许继电气,2020-02-12,7,雷阵雨,somewhere,维修班4,电压互感器二次回路故障
CPU板件,2013-10-30,南瑞科技,2016-02-15,4,阴,somewhere,维修班4,电流互感器二次回路故障
CPU板件,2018-06-25,许继电气,2033-04-20,15,小雨,somewhere,维修班1,0
电源DC220,2020-11-08,上海惠安,2033-09-10,13,小雨,somewhere,维修班2,0
电源DC220,2018-06-10,南瑞继保,2022-02-22,4,小雨,somewhere,维修班1,0
显示屏,2013-06-01,南瑞科技,2027-11-27,15,雷阵雨,somewhere,维修班2,0
CPU板件,2010-07-30,许继电气,2013-05-23,3,晴,somewhere,维修班4,保护装置故障
